Дата выпуска,Название,Ссылка,Описание,Суммарное кол-во просмотров
28.12.2022,Что год Кролика нам готовит,https://m-zh.ru/muzhskoe-zhenskoe-28-12-22-segodnyashnij-vypusk.html,"Совсем скоро вся страна встретит новый 2023 год. По восточному календарю наступает год черного водяного кролика. Год кролика говорит о том, что мы будем очень эмоциональны, очень суетливы, будем переживать о своих финансах. Сегодня в студии «Мужского/Женского» соберутся самые известные астрологи и нумерологи и расскажут каким будет 2023 год.",0
27.12.2022,Новый год на передовой. Часть 2,https://m-zh.ru/muzhskoe-zhenskoe-27-12-2022-segodnyashnij-vypusk.html,Программа «Мужское/Женское» продолжает знакомить вас с бойцами батальона ветераны и их семьями. Как этот праздник будут встречать на передовой?,0
26.12.2022,Новый год на передовой. Часть 1,https://m-zh.ru/muzhskoe-zhenskoe-26-12-22-segodnyashnij-vypusk.html,"Считанные дни остались до Нового года. В преддверии праздников Юлии Барановской было очень важно еще раз съездить к бойцам на передовую и поздравить их от лица всей страны. А некоторых и вовсе ждет самый важный подарок. Какой, узнаете прямо сейчас.",0
23.12.2022,Обмани меня. Часть 5,https://m-zh.ru/muzhskoe-zhenskoe-23-12-22-segodnyashnij-vypusk.html,"Популярный блогер с миллионной аудиторией Дмитрий Раевский называет себя волшебным доктором. Он уверяет, что спасает неизлечимо больных людей и призывает отказаться от консервативного лечения. Отец пятерых детей берет на лечение людей любых возрастов. Он основал целую сеть клиник в России и Казахстане, а также открыл школу свободы, обучающую исцелению. Сегодня в студии «Мужского/Женского» мы узнаем кто же такой Дмитрий Раевский: гениальный целитель или шарлатан. Зачем он сменил имя? И почему все свои консультации он проводит за бокальчиком вина?",12531
22.12.2022,Где находится Нафисет?,https://m-zh.ru/muzhskoe-zhenskoe-22-12-22-segodnyashnij-vypusk.html,"Когда 36-летняя Мария Дубинина из Ставропольского края родила девятого ребенка, она уже знала, что опека придет забрать и ее. Чтобы сохранить дочь, Мария решилась записать его на постороннего мужчину. Она даже не догадывалась, что, спасая ребенка от органов опеки, ей когда-нибудь действительно придется отдать свою малышку чужому человеку. Сам Александр Озеров, которому на голову свалился ребенок, считает своим долгом спасти девочку и готов бороться за право забрать ее из рук непутевой матери. Что на самом деле происходит в семье многодетной матери? Почему Мария сменила имя? И кто еще претендует на роль отца?",8935
21.12.2022,Донбасс. Часть 3,https://m-zh.ru/muzhskoe-zhenskoe-21-12-22-segodnyashnij-vypusk.html,"Несколько месяцев назад удалось снять эксклюзивный материал. Парни из седьмой бригады народной милиции Луганской народной республики взяли нас с собой в наступление. Все эти сюжеты вы сегодня увидите, а также познакомитесь с бойцами и с их родственниками.",0
20.12.2022,Дом напополам,https://m-zh.ru/muzhskoe-zhenskoe-20-12-22-segodnyashnij-vypusk.html,"Жители дома в Кривошлыковском переулке Ростова с ужасом ждут зимы — в их доме нет воды, газа и отопления. Во дворе они разбили полевую кухню, где каждый день готовят себе еду. Администрация признала дом аварийным еще в 2020 году и предложила жильцам многомиллионные компенсации, но они отказываются покидать исторический центр, тех, кто согласился взять деньги от города, объявили врагами.  Коммунальщики не подключают дом к коммуникациям, а по всем вопросам просят обращаться в администрацию, но там разговор с жителями дома короткий. Сегодня в студии «Мужского/Женского» жильцы ростовского дома соберутся вместе, чтобы решить как им быть, а также зададут вопросы тем, кто несколько лет пытается их выселить.",0
19.12.2022,Я сужусь на ваших могилах,https://m-zh.ru/muzhskoe-zhenskoe-19-12-2022-segodnyashnij-vypusk.html,"Андрей Сгибов ушел из семьи 15 лет назад, оставив жену Галину с тремя детьми на руках. Два года назад их старший сын Дмитрий принял решение стать профессиональным военным, полгода назад он погиб в зоне СВО. У него осталась маленькая дочь. Именно в этот момент Андрей Сгибов решил вернуться в семью и подал заявление на получение выплат за погибшего сына. Сегодня в выпуске три истории отцов, которые вспомнили о детях лишь после их гибели. Имеют ли они право на получение компенсации по закону и по совести?",0
16.12.2022,Недетский поступок,https://m-zh.ru/muzhskoe-zhenskoe-16-12-22-segodnyashnij-vypusk.html,"Обгоревшие развалины — все, что осталось от дома 9-летнего Кирилла Ковальчука. Полгода назад он без страха за жизнь бросился в огонь и спас из пожара младшую сестру и дедушку с бабушкой. 14-летний Сергей Прокофьев прыгнул в воду и сломал себе позвоночник, но благодаря своему другу Илье он остался жив.  К сожалению не все героические истории заканчиваются счастливым концом. 14-летняя Таня Марченко прыгнула в воду, чтобы спасти тонущего ребенка, изо всех сил она вытолкнула мальчика из воды, но вынырнуть сама уже не смогла. Сегодня в студии «Мужского/Женского» мы познакомимся с настоящими героями, которые, несмотря на юный возраст, уже спасли чью-то жизнь. Как они решились на эти недетские поступки и какова цена их мужеству?",0
15.12.2022,Бабка с маком,https://m-zh.ru/muzhskoe-zhenskoe-15-12-22-segodnyashnij-vypusk.html,"Жизнь пенсионерки Надежды Жилиной из Ростовской области больше напоминает хождение по мукам. Последние годы она борется за право воспитывать родных внучек. Мое сердце болит за внучек. Надежда не считает себя образцовой бабушкой, но внучек любит безмерно. Она убеждена, что опекуны взяли девочек только ради выгоды и никогда не смогут полюбить их как родных.  Сама приемная мама Татьяна Землякова утверждает, что только с ней девочки обрели настоящую семью, а бабушка печётся не о внуках, а хочет за их счет помочь непутёвому сыну. Как случилось, что сестры оказались в приёмной семье? Почему на самом деле не отдают внучек родной бабушке? И с кем все-таки будет лучше детям?",0
14.12.2022,«Пятнашка» Часть 2,https://m-zh.ru/muzhskoe-zhenskoe-14-12-2022-segodnyashnij-vypusk.html,"Программа «Мужское/Женское» продолжает знакомить с историями бойцов, которые сражаются на Донбассе и их семьями. Первая гостья программы — Елена, мать Анвера, которой работает на передовой. Она расскажет о том, как услышала решение сына отправиться защищать Родину и о своей реакции на это событие.",0
13.12.2022,Константин Ярошенко: Долгий путь домой,https://m-zh.ru/muzhskoe-zhenskoe-13-12-2022-segodnyashnij-vypusk.html,"Эту громкую историю до сих пор обсуждают по обе стороны Атлантики. Российского пилота Константина Ярошенко, который 12 лет провел в тюрьме, обменяли на гражданина Америки, который был осужден в России. Его история похожа на жесткий боевик. Похищение, пытки, издевательства и агенты под прикрытием. Американские спецслужбы делали все, чтобы заставить Ярошенко сказать то, что им нужно.  После того как он отказался от сотрудничества, состоялся суд, где ему дали 20 лет тюрьмы. Все эти годы семья Константина пыталась добиться справедливости и доказать его невиновность. Спустя 12 лет Константин вернулся в Россию. Какими были последние слова матери Константина, которая так и не дождалась сына? Как сокамерники помогали выжить Константину в тюрьме?",0
12.12.2022,Тот еще Жюльверн,https://m-zh.ru/muzhskoe-zhenskoe-12-12-22-segodnyashnij-vypusk.html,"Молодость 60-летнего Жюльверна Авдышева из Санкт-Петербурга больше похожа на плохой приключенческий роман. А нынешняя жизнь с тещей под одной крышей и вовсе напоминает фильм ужасов. Жюльверн утверждает, что отношения с тещей испортились после рождения ребенка-инвалида. Бабушка ненавидит внучку и сейчас всячески изживает всю семью из единственного жилья. Сама теща Татьяна Нестерова уверяет, что к внучке относится хорошо, а зять ее просто оговаривает. Он использует болезнь дочери как способ завладеть всей квартирой и ради этого готов пойти на все. Что на самом деле стало причиной вражды между тещей и зятем? Почему от Татьяны отвернулась родная дочь? И какое прошлое скрывает Жюльверн?",0
09.12.2022,Жизнь в моменте,https://m-zh.ru/muzhskoe-zhenskoe-09-12-22-segodnyashnij-vypusk.html,"12-летняя Анна Корчагина из Новосибирска не понаслышке знает, насколько коротка жизнь и понимает цену каждого дня. Отец девочки Максим Корчагин осознает, что время работает против них. Мужчина делает всё возможное для того, чтобы короткая жизнь его дочери была наполнена яркими красками.  Сама Аня не обращает внимания на тяжелое заболевание. Девочка не стесняется своей внешности и ведет блог о жизни. Как ощущают себя дети, живущие в стареющем теле? Можно ли остановить быстрое течение жизни? И о чем мечтают люди, живущие в моменте?",0
08.12.2022,Между двух семей,https://m-zh.ru/muzhskoe-zhenskoe-08-12-22-segodnyashnij-vypusk.html,"Настоящая драма развернулась в Иркутской области — две семьи не могут поделить 5-летнюю девочку. Сразу после рождения ребенка биологическая мать была госпитализирована с туберкулезом, а позже их вместе с мужем депортировали из России. Опеку над Аней оформила семья Бухашеевых и малышка стала жить в их доме. Но когда девочке было 5 лет, объявились ее биологические родители и потребовали вернуть их ребенка.  Как оказалось, они не отказывались от дочери, и все это время пытались ее вернуть. День передачи Ани от одних родителей к другим стал настоящей трагедией. В студии «Мужского/Женского» родные и приемные родители встретятся вновь, чтобы решить с кем будет жить Аня.",0
07.12.2022,Донбасс: «Пятнашка»,https://m-zh.ru/muzhskoe-zhenskoe-07-12-2022-segodnyashnij-vypusk.html,Полгода назад команда «Мужского/Женского» приняла решение поехать на Донбасс. Все это время они находились в самой гуще событий и теперь готовы рассказать из первых уст истории жителей Донбасса.,0
06.12.2022,Старшая сестра,https://m-zh.ru/muzhskoe-zhenskoe-06-12-22-segodnyashnij-vypusk.html,"Татьяна Посохова из Ростовской области в отчаянии. По решению суда она обязана передать племянниц их родному отцу Виталию Левченко, рецидивисту, который провел более десяти лет за решеткой. Мама девочек погибла восемь лет назад, с тех пор София, Алина и Милана воспитывались тетей и бабушкой, а про отца старались даже не вспоминать.  Сам Виталий утверждает, что сполна расплатился за преступления, исправился и готов начать с чистого листа, если сестра и мать прекратят настраивать против него дочерей и органы опеки. Почему, несмотря на решение суда, дети до сих пор не живут с родным отцом? Кого на самом деле поддерживает опека? И чего хотят сами девочки?",0
05.12.2022,Альфонс из Старого Оскола,https://m-zh.ru/muzhskoe-zhenskoe-05-12-22-segodnyashnij-vypusk.html,"Юлия Мурыгина из Белгородской области просит бывшего мужа оставить ее в покое. Еще несколько лет назад их называли идеальной парой. Он гламурный фотограф, она его муза. Но спустя пару лет семейная идиллия переросла в настоящую войну. Яблоком раздора стала однокомнатная квартира в центре Старого Оскола. Однако Виктор клянется, что пальцем не трогал бывшую и утверждает, что это он стал жертвой мошенников.  По словам Виктора больше всего он переживает за маленькую дочь Вику. Но даже родная мать уже не верит в искренность сына и утверждает, что его интересуют только деньги. Почему бывшие супруги превратились в заклятых врагов? Как семейные разборки сказались на психике их 5-летней дочки? И кому в итоге достанутся квадратные метры?",0
02.12.2022,Одной крови?,https://m-zh.ru/muzhskoe-zhenskoe-2-12-2022-segodnyashnij-vypusk.html,"41-летний Андрей Буяков из Череповца всю жизнь мечтает лишь об одном — найти своих родственников. Мать Андрей сбежала из роддома, оставив сына и лишив его надежды на счастливую жизнь в родной семье. О своих родителях он не знает ничего, кроме имен указанных в справке из детского дома. Именно по этим данным удалось найти предполагаемых родственников Андрея.  Являются ли они родственниками? Какие еще тайны скрывает эта семья? И что покажет тест ДНК?",0
01.12.2022,Дело,https://m-zh.ru/muzhskoe-zhenskoe-01-12-2022-segodnyashnij-vypusk.html,"Многодетная семья Скрябченко из поселка в Нижегородской области уже несколько лет зависит от капризов природы. В 2017 году они купили земельный участок, хотели подключиться к центральной воде, но соседи ополчились против них, и всячески не дают нам это сделать. Местные чиновники лишь разводят руками — спасение утопающих в их собственных руках.  Как утверждает Елена Скрябченко, все попытки договориться с соседями не увенчались успехом. А вот соседи уверены, что семья Скрябченко попросту скандалисты, которые играют на публику. Сегодня все стороны конфликта встретятся, чтобы разобраться кто жертва, а кто тиран в этой коммунальной истории.",999762
30.11.2022,Обмани меня. Часть 4,https://m-zh.ru/muzhskoe-zhenskoe-30-11-2022-obmani-menya-chast-4.html,"Программа «Мужское/Женское» продолжает рассказывать о всех видах мошенничества и удивляться, как же быстро они перестраиваются под новые реалии. И первый сюжет в этой части программы будет о том, как пытаются разводить на деньги государственных деятелей, в том числе и депутатов.",4238
29.11.2022,Обмани меня. Часть 3,https://m-zh.ru/muzhskoe-zhenskoe-29-11-2022-segodnyashnij-vypusk.html,"Давно не были на море или не гуляли по лесу? Не беда. Аква-генератор заменит десять лет жизни на морском берегу или опушке леса всего за 29 тысяч рублей, и не важно, что это обычная вода из-под крана. У вас все еще висит ковер на стене? Срочно положите его на пол, а на него наш чудодейственный ковер от всех болезней за каких-то там 69 тысяч рублей.  Программа «Мужское/Женское» провела собственное расследование и выяснила, как обманывают доверчивых граждан.",0
